v_x,v_y,v_z,w_x,w_y,w_z,a_x,a_y,a_z,alpha_x,alpha_y,alpha_z
0.11760169755911082,0.3161935210688538,-0.4113822009464791,0.16768701816890463,0.6581180641763896,0.5144668325963074,0.14154127097272423,-0.18505510955987994,-0.5466711769279244,-0.48953587757995143,0.8280613388661786,-0.6751649173637263
0.1288642023851944,0.2917666534012181,-0.46484098588586353,0.12069888166776044,0.7373328343037816,0.4406946395879913,0.09149699169853454,-0.2669357442785909,-0.512033297686425,-0.4711887299682261,0.7415981710576521,-0.7401492270720831
0.13545147761183454,0.25858182271582997,-0.5138858352432804,0.07615397580189076,0.807672858306546,0.3608168918479436,0.04667898006657889,-0.3551389309814017,-0.4645745375642588,-0.4406277486980279,0.6541531851314486,-0.7971276105318031
0.13787774299703337,0.2164832830698108,-0.5571394104330915,0.035172012053934665,0.8690412230732406,0.2757616756342224,0.007152755102419195,-0.44297426051044936,-0.4033639645618682,-0.3997141060034444,0.5662310865503389,-0.8447398297967832
0.13660677368743038,0.16599450668763785,-0.5932176209880881,-0.0013229743679076256,0.9213957767713572,0.18660698216738417,-0.02775108551977684,-0.5237599887072686,-0.3286679601711502,-0.3505047916790058,0.4782217370314046,-0.881557576386986
0.13200905476788025,0.10827615974565792,-0.6208528087987193,-0.032618071038453766,0.9647447848620849,0.09457550604800972,-0.05904650740310424,-0.5913830100826358,-0.2419617351435721,-0.29517269171243726,0.3904861485262956,-0.9062129632928195
0.12435964547498775,0.045031895481149636,-0.639008474383791,-0.05821849277332147,0.9991489318711813,0.0010152477983902813,-0.08769046772586392,-0.6407943275157638,-0.1458133162515994,-0.2359262219603033,0.30342731005786433,-0.9175371271593838
0.1138719432905903,-0.0216290168725102,-0.6469732636284536,-0.07784620630151456,1.0247272105336445,-0.09263361775834067,-0.11424363787122405,-0.6684051070462715,-0.0436505528483262,-0.17493011259614463,0.217534237324983,-0.9146931982617786
0.10075592620993716,-0.08936007065535084,-0.6444242406755606,-0.09143062740401625,1.0416636297254107,-0.18488347332552754,-0.13865538750668205,-0.6723546215156615,0.06056264848777775,-0.11423053323424615,0.13339331026599682,-0.8972873309534133
0.08528501919383152,-0.15576230980672984,-0.6314531529644395,-0.09909239527150032,1.0502117456954292,-0.27425195600685,-0.1602113144958708,-0.6526288668174542,0.1627020350598411,-0.05568952362962637,0.05166782619440907,-0.8654433209735966
0.06785438795547843,-0.21856936652754577,-0.6085539271047192,-0.10112184858030004,1.0506947683383114,-0.3593178985826898,-0.1776499586563678,-0.6110178638821853,0.2588648012273014,-0.0009345585121390831,-0.026946636666385637,-0.8198305420191491
0.04901551333172329,-0.2758161583394683,-0.5765743276145655,-0.09795433317773228,1.04350025862562,-0.43877531552631976,-0.18942200068479642,-0.5509112656055296,0.34571158432174764,0.04867183625049304,-0.10177840273926521,-0.7616409566947783
0.029476942749699617,-0.32597563529188694,-0.5366388453534965,-0.09014465765146706,1.029069932447084,-0.511480452792835,-0.19403716242338523,-0.4769460264211002,0.4207297700162408,0.09204041939908186,-0.1722325442764257,-0.6925178032342107
0.010068119713451952,-0.368050567393392,-0.4900528604084494,-0.07834273569886457,1.007886465704899,-0.576487804647389,-0.19042713077897344,-0.394535678346972,0.4823917441144525,0.12834387495028401,-0.23782671628629765,-0.6144450157563895
-0.008329280221153371,-0.4016115862422447,-0.4381995821938055,-0.0632716995839735,0.9804601082656934,-0.6330723998092479,-0.17825060056573425,-0.3093260751501213,0.5301973033473768,0.15699262046116635,-0.29820086323497386,-0.5296113519074358
-0.02487154685152636,-0.4267782506532673,-0.38244113319907636,-0.04570868460863617,0.9473181086001413,-0.6807373361056719,-0.1580791380074024,-0.2266343328434314,0.5646051561070045,0.17760776639201697,-0.35309860986035824,-0.44026575845760635
-0.03884943090514613,-0.4441461844940995,-0.32403361040847933,-0.026467351375349307,0.9089993449155772,-0.7192072257920689,-0.13142688010401773,-0.15093309979973424,0.5868716842100994,0.19000167343841812,-0.4023257940633756,-0.3485803915649335
-0.04977442135935247,-0.45466949449872784,-0.26406342674398575,-0.006380364974552133,0.8660552757962507,-0.7484096517478914,-0.10061755552652779,-0.08543919982250185,0.5988241023955165,0.1941738728165775,-0.44569799068350646,-0.25653515998059523
-0.057440089104198275,-0.4595128111501235,-0.20340919268422122,0.013720230965445585,0.8190566720444817,-0.768447744345772,-0.06851242529357829,-0.03185381441751084,0.6025991432448258,0.19032482424993408,-0.48299227033957426,-0.16583336048956587
