Time,Theta1,Theta2,Theta3,Theta4,Theta1_dot,Theta2_dot,Theta3_dot,Theta4_dot,Theta1_ddot,Theta2_ddot,Theta3_ddot,Theta4_ddot
2.6,0.0,-9.012317339707458,-88.75378722662475,187.76610456633222,0.0,1.3027517230759145,-0.33914092725950695,-0.9636107958164075,0.0,-0.01688630257703494,0.04681966940722759,-0.02993336682948211
2.7,0.0,-8.882042167399867,-88.7877013193507,187.66974348675058,0.0,1.301063092818211,-0.3344589603187842,-0.9666041324993557,0.0,-0.016968122251626028,0.04681681829339368,-0.029848696044609824
2.8000000000000003,0.0,-8.751935858118046,-88.82114721538258,187.57308307350064,0.0,1.2993662805930484,-0.3297772784894448,-0.9695890021038167,0.0,-0.017050297569198847,0.04681408530871067,-0.029763787736669656
2.9000000000000004,0.0,-8.62199923005874,-88.85412494323153,187.47612417329026,0.0,1.2976612508361285,-0.32509586995857376,-0.9725653808774837,0.0,-0.017132823537480135,0.04681146713068074,-0.029678643593911147
3.0,0.0,-8.492233104975128,-88.88663453022738,187.3788676352025,0.0,1.2959479684823805,-0.3204147232455057,-0.9755332452368748,0.0,-0.01721569513009058,0.046808960478017525,-0.029593265347216402
3.1,0.0,-8.36263830812689,-88.91867600255193,187.28131431067882,0.0,1.2942263989693714,-0.31573382719770393,-0.9784925717715964,0.0,-0.017298907343388237,0.04680656214759438,-0.02950765480420614
3.2,0.0,-8.233215668229953,-88.9502493852717,187.18346505350166,0.0,1.2924965082350326,-0.3110531709829445,-0.981443337252017,0.0,-0.017382455128966967,0.046804268941968985,-0.029421813815133646
3.3000000000000003,0.0,-8.10396601740645,-88.98135470237,187.08532071977646,0.0,1.290758262722136,-0.3063727440887476,-0.9843855186335304,0.0,-0.017466333462579087,0.04680207775038525,-0.029335744287095622
3.4000000000000004,0.0,-7.974890191134236,-89.01199197677887,186.9868821679131,0.0,1.289011629375878,-0.30169253631370907,-0.98731909306224,0.0,-0.01755053728587086,0.04679998547771902,-0.029249448192558702
3.5,0.0,-7.845989028196648,-89.04216123041024,186.88815025860688,0.0,1.287256575647291,-0.29701253776593717,-0.9902440378814958,0.0,-0.017635061553988862,0.04679798910700583,-0.029162927549464257
3.6,0.0,-7.717263370631919,-89.07186248418684,186.78912585481874,0.0,1.285493069491892,-0.2923327388552366,-0.9931603306364423,0.0,-0.017719901212132072,0.0467960856539662,-0.029076184443965758
3.7,0.0,-7.58871406368273,-89.10109575807236,186.6898098217551,0.0,1.2837210793706788,-0.28765313028983996,-0.9960679490808388,0.0,-0.017805051177077758,0.04679427216984777,-0.028989220993480558
3.8000000000000003,0.0,-7.460341955745662,-89.12986107110135,186.590203026847,0.0,1.281940574252971,-0.2829737030728552,-0.9989668711801869,0.0,-0.017890506391182726,0.046792545779794636,-0.028902039386480283
3.9000000000000004,0.0,-7.332147898320365,-89.15815844140863,186.490306339729,0.0,1.2801515236138528,-0.2782944484948757,-1.001857075118835,0.0,-0.017976261769092616,0.04679090364447802,-0.02881464187680649
